ano,mes,total
2003,1,0
2003,2,0
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0
2003,9,0
2003,10,12
2003,11,3
2004,4,24
2004,5,34
2004,6,7
2004,7,37
2004,8,9
2004,9,3
2004,10,50
2004,11,13
2005,3,1
2005,4,73
2005,5,322
2005,6,30
2005,7,105
2005,8,20
2005,9,35
2005,10,132
2005,11,43
2006,4,121
2006,5,595
2006,6,63
2006,7,181
2006,8,31
2006,9,64
2006,10,244
2006,11,73
2007,3,19
2007,4,210
2007,5,726
2007,6,76
2007,7,276
2007,8,58
2007,9,80
2007,10,235
2007,11,107
2008,3,3
2008,4,187
2008,5,755
2008,6,110
2008,7,310
2008,8,6
2008,9,130
2008,10,325
2008,11,241
2009,3,5
2009,4,294
2009,5,990
2009,6,463
2009,7,512
2009,9,183
2009,10,423
2009,11,299
2010,3,1
2010,4,457
2010,5,1510
2010,6,395
2010,7,439
2010,8,320
2010,9,258
2010,10,539
2010,11,382
2010,12,58
2011,3,5
2011,4,547
2011,5,1868
2011,6,458
2011,7,620
2011,8,263
2011,9,162
2011,10,660
2011,11,483
2011,12,62
2012,4,565
2012,5,1376
2012,6,1964
2012,7,793
2012,8,958
2012,9,570
2012,10,623
2012,11,941
2012,12,140
2013,4,695
2013,5,1469
2013,6,2263
2013,7,1087
2013,8,1072
2013,9,626
2013,10,693
2013,11,1176
2013,12,134
2014,4,799
2014,5,1694
2014,6,2951
2014,7,926
2014,8,1127
2014,9,541
2014,10,732
2014,11,1382
2014,12,195
2015,4,1387
2015,5,1709
2015,6,3204
2015,7,1223
2015,8,1281
2015,9,549
2015,10,957
2015,11,1652
2015,12,165
2016,4,1404
2016,5,2414
2016,6,4074
2016,7,1268
2016,8,1246
2016,9,934
2016,10,1236
2016,11,1638
2016,12,226
2017,4,2069
2017,5,2776
2017,6,4387
2017,7,1525
2017,8,1509
2017,9,1271
2017,10,1183
2017,11,2082
2017,12,255
2018,4,2387
2018,5,3654
2018,6,5504
2018,7,2379
2018,8,1481
2018,9,1308
2018,10,1698
2018,11,2344
2018,12,379
2019,4,3285
2019,5,4059
2019,6,6331
2019,7,2783
2019,8,2083
2019,9,1839
2019,10,2026
2019,11,2639
2019,12,341
2020,5,7
2020,6,12
2020,7,244
2020,8,6673
2020,9,10310
2020,10,11887
2020,11,3770
2020,12,31
2021,1,35
2021,2,27
2021,3,74
2021,4,5039
2021,5,5403
2021,6,6925
2021,7,1637
2021,8,2182
2021,9,4328
2021,10,2994
2021,11,3713
2021,12,82
2022,1,249
2022,2,239
2022,3,710
2022,4,4458
2022,5,5114
2022,6,6591
2022,7,1879
2022,8,2232
2022,9,4778
2022,10,2871
2022,11,2861
2022,12,66
2023,1,68
2023,2,106
2023,3,66
